|           Name | Chip | XDISP |         ECH |       XDAng | Deck | Rbin | Cbin | IOrder | EOrder |
|   aduv-13.fits |    1 |    UV |   0.1999162 |  1.38849998 |   C1 |    1 |    2 |     65 |     90 |
|   aduv-14.fits |    1 |    UV |         0.0 |  1.09000003 |   C1 |    1 |    2 |     68 |     96 |
|   aduv-15.fits |    1 |    UV | -0.19995849 |  1.09000003 |   C1 |    1 |    2 |     68 |     96 |
|   aduv-16.fits |    1 |    UV |  0.19995849 |  1.09000003 |   C1 |    1 |    2 |     68 |     96 |
|   aduv-17.fits |    1 |    UV |         0.0 |  0.82950002 |   C1 |    1 |    2 |     71 |    102 |
|   aduv-18.fits |    1 |    UV | -0.20000076 |  0.82950002 |   C1 |    1 |    2 |     71 |    101 |
|   aduv-19.fits |    1 |    UV |   0.1999162 |  0.82950002 |   C1 |    1 |    2 |     71 |    102 |
|   aduv-20.fits |    1 |    UV |  -4.228e-05 |  0.58899999 |   C1 |    1 |    2 |     74 |    108 |
|   aduv-21.fits |    1 |    UV | -0.19995849 |  0.58899999 |   C1 |    1 |    2 |     74 |    107 |
|   aduv-22.fits |    1 |    UV |   0.1999162 |  0.58899999 |   C1 |    1 |    2 |     74 |    108 |
|   aduv-23.fits |    1 |    UV |  -4.228e-05 |      0.3705 |   C1 |    1 |    2 |     77 |    114 |
|   aduv-24.fits |    1 |    UV |  -4.228e-05 |      0.3705 |   C1 |    1 |    2 |     77 |    114 |
|   aduv-25.fits |    1 |    UV |  -4.228e-05 |      0.3705 |   C1 |    1 |    2 |     77 |    114 |
